COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,220.80357142857142,35.32142857142857,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,35,20,56
5.0,5001.0,1,251.65217391304347,53.96521739130435,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,97,85,115
5.0,5001.0,1,259.2096774193548,58.354838709677416,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,55,50,62
5.0,5001.0,1,244.135593220339,50.152542372881356,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,52,37,59
5.0,5001.0,1,230.75,42.25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,5,1,8
5.0,5001.0,1,242.4848484848485,48.75757575757576,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,58,42,66
5.0,5001.0,1,265.2096774193548,60.88709677419355,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,58,51,62
5.0,5001.0,1,234.17241379310346,43.52873563218391,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,74,52,87
5.0,5001.0,1,219.09756097560975,34.21138211382114,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,86,59,123
5.0,5001.0,1,230.66666666666666,41.541666666666664,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,20,17,24
5.0,5001.0,1,233.1358024691358,43.092592592592595,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,132,94,162
5.0,5001.0,1,246.66666666666666,51.160919540229884,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,80,68,87
5.0,5001.0,1,222.53333333333333,36.28235294117647,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,174,104,255
5.0,5001.0,1,297.6794871794872,78.47435897435898,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,73,64,78
